Function,Label,Chunk label,Chunk size,Offset label,Offset size,Max GB/s,Min GB/s,Avg GB/s
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,63 B,63,110.343684,81.179569,108.259409
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,64 B,64,184.716089,167.599579,181.860510
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,65 B,65,109.207073,67.687569,105.810252
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,0 B,0,95.765810,42.720523,69.447020
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,1 B,1,70.238201,52.583172,63.716696
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,2 B,2,70.433129,54.392076,64.015075
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,15 B,15,86.614575,51.679774,65.376178
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,16 B,16,104.293829,67.166853,94.294952
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,17 B,17,99.790563,74.945605,96.761572
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,31 B,31,99.676948,46.040115,94.633478
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,32 B,32,95.550327,36.513969,83.516373
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,33 B,33,97.438432,56.172109,93.548970
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,47 B,47,94.824659,40.706224,66.761937
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,48 B,48,97.309020,27.168001,79.258219
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,49 B,49,69.269002,45.766821,58.827082
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,63 B,63,70.364501,44.522389,62.456019
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,64 B,64,84.705253,54.445637,65.911902
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,65 B,65,97.319208,68.066435,93.555301
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,0 B,0,57.390162,47.936398,54.978647
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,1 B,1,54.395302,48.517191,53.983230
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,2 B,2,54.392163,47.764571,53.952774
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,15 B,15,54.395700,37.827873,53.646380
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,16 B,16,54.393986,48.902279,54.132445
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,17 B,17,54.397194,48.761485,53.919561
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,31 B,31,54.395709,47.747318,53.836449
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,32 B,32,54.397788,46.267804,53.925628
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,33 B,33,54.503803,48.075972,54.163213
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,47 B,47,54.506019,47.697654,54.045027
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,48 B,48,56.070460,48.305934,54.155767
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,49 B,49,54.507474,47.711292,54.079188
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,63 B,63,54.507496,46.940510,53.938055
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,64 B,64,54.395900,48.652546,53.856874
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,65 B,65,55.995807,46.727378,54.152069
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,0 B,0,11.905988,9.112199,10.205072
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,1 B,1,11.861191,9.462201,10.950931
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,2 B,2,12.301006,10.000029,11.367533
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,15 B,15,12.016402,9.412242,11.073562
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,16 B,16,12.437208,10.051738,11.543760
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,17 B,17,12.044034,9.672860,11.062966
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,31 B,31,12.134033,10.180080,11.444998
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,32 B,32,11.174886,9.394546,10.450209
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,33 B,33,11.925640,9.689823,11.220712
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,47 B,47,12.495443,9.659751,11.568836
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,48 B,48,12.529615,9.724068,11.352041
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,49 B,49,12.053066,10.224148,11.463424
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,63 B,63,12.232542,9.854804,11.411645
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,64 B,64,11.113685,8.759519,10.134649
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,65 B,65,12.137825,9.779851,11.449621
